review_id,phrase,category,aspect_term,polarity
110,onion soup filling yet overly impressive desserts brilliant way ,FOOD#STYLE_OPTIONS,impressive,positive
112,however ambience consider food companion trip ,AMBIENCE#GENERAL,trip,positive
112,consider food companion trip across world ,AMBIENCE#GENERAL,trip,positive
112,however ambience consider food companion trip across world ,AMBIENCE#GENERAL,trip,positive
113,however ambience consider food companion trip ,FOOD#QUALITY,trip,neutral
113,consider food companion trip across world ,FOOD#QUALITY,trip,neutral
113,however ambience consider food companion trip across world ,FOOD#QUALITY,trip,neutral
115,pizza delivered cold cheese even fully melted ,FOOD#QUALITY,pizza,negative
115,pizza delivered cold cheese even ,FOOD#QUALITY,pizza,negative
117,looked like shredded cheese partly done still strips ,FOOD#QUALITY,trip,negative
118,got one overrated restaurants brooklyn ,RESTAURANT#GENERAL,restaurants,negative
119,pizza overpriced soggy ,FOOD#QUALITY,pizza,negative
120,pizza overpriced soggy ,FOOD#PRICES,pizza,negative
121,yes use fancy ingredients even fancy ingredients make ,FOOD#QUALITY,die,positive
121,use fancy ingredients even fancy ingredients make good pizza unless ,FOOD#QUALITY,pizza,positive
121,pizza unless someone knows get crust right ,FOOD#QUALITY,pizza,positive
121,ingredients even fancy ingredients make good pizza unless someone knows ,FOOD#QUALITY,pizza,positive
121,even fancy ingredients make good pizza unless someone knows get ,FOOD#QUALITY,pizza,positive
124,big disappointment around ,RESTAURANT#GENERAL,disappointment,negative
125,think best meals life minnow ,FOOD#QUALITY,life,positive
126,good wine list ever changing menu always offers great surprises ,FOOD#QUALITY,surprise,positive
126,seafood amazing good wine list ever changing ,FOOD#QUALITY,list,positive
126,seafood amazing good wine list ever changing menu ,FOOD#QUALITY,list,positive
126,seafood amazing good wine list ,FOOD#QUALITY,list,positive
126,seafood amazing good wine list ever changing menu always ,FOOD#QUALITY,list,positive
126,changing menu always offers great surprises ,FOOD#QUALITY,surprise,positive
127,good wine list ever changing menu always offers great surprises ,DRINKS#STYLE_OPTIONS,surprise,positive
127,seafood amazing good wine list ever changing ,DRINKS#STYLE_OPTIONS,list,positive
127,seafood amazing good wine list ever changing menu ,DRINKS#STYLE_OPTIONS,list,positive
127,seafood amazing good wine list ,DRINKS#STYLE_OPTIONS,list,positive
127,seafood amazing good wine list ever changing menu always ,DRINKS#STYLE_OPTIONS,list,positive
127,changing menu always offers great surprises ,DRINKS#STYLE_OPTIONS,surprise,positive
128,good wine list ever changing menu always offers great surprises ,FOOD#STYLE_OPTIONS,surprise,positive
128,seafood amazing good wine list ever changing ,FOOD#STYLE_OPTIONS,list,positive
128,seafood amazing good wine list ever changing menu ,FOOD#STYLE_OPTIONS,list,positive
128,seafood amazing good wine list ,FOOD#STYLE_OPTIONS,list,positive
128,seafood amazing good wine list ever changing menu always ,FOOD#STYLE_OPTIONS,list,positive
128,changing menu always offers great surprises ,FOOD#STYLE_OPTIONS,surprise,positive
129,combination super fresh ingredients dishes ,FOOD#QUALITY,dishes,positive
129,combination super fresh ingredients dishes unusual really delicious ,FOOD#QUALITY,dishes,positive
130,worth trip manhattan ,RESTAURANT#GENERAL,trip,positive
131,best pastrami ever great portion without ridiculous ,FOOD#QUALITY,pastrami,positive
131,best pastrami ever great portion without ,FOOD#QUALITY,pastrami,positive
132,best pastrami ever great portion without ridiculous ,FOOD#STYLE_OPTIONS,pastrami,positive
132,best pastrami ever great portion without ,FOOD#STYLE_OPTIONS,pastrami,positive
133,wife fried shrimp huge loved ,FOOD#STYLE_OPTIONS,love,positive
134,wife fried shrimp huge loved ,FOOD#QUALITY,love,positive
135,japanese native lived tristate area years amazed place ,RESTAURANT#GENERAL,state,positive
135,lived tristate area years amazed place ,RESTAURANT#GENERAL,state,positive
136,place japanese ever get ,RESTAURANT#MISCELLANEOUS,place,positive
137,signs specials menus food even waitstaff totally japanese ,RESTAURANT#MISCELLANEOUS,specials,positive
137,signs specials menus food even ,RESTAURANT#MISCELLANEOUS,specials,positive
137,signs specials menus food even waitstaff ,RESTAURANT#MISCELLANEOUS,specials,positive
138,signs specials menus food even waitstaff totally japanese ,FOOD#STYLE_OPTIONS,specials,positive
138,signs specials menus food even ,FOOD#STYLE_OPTIONS,specials,positive
138,signs specials menus food even waitstaff ,FOOD#STYLE_OPTIONS,specials,positive
139,signs specials menus food even waitstaff totally japanese ,FOOD#QUALITY,specials,positive
139,signs specials menus food even ,FOOD#QUALITY,specials,positive
139,signs specials menus food even waitstaff ,FOOD#QUALITY,specials,positive
140,signs specials menus food even waitstaff totally japanese ,SERVICE#GENERAL,specials,positive
140,signs specials menus food even ,SERVICE#GENERAL,specials,positive
140,signs specials menus food even waitstaff ,SERVICE#GENERAL,specials,positive
141,place worth one hour drive ,RESTAURANT#GENERAL,hour,positive
143,leon east village gem casual hip well prepared ,RESTAURANT#GENERAL,hip,positive
143,fare good specials warm lively atmosphere ,RESTAURANT#GENERAL,specials,positive
143,prepared basic french bistro fare good specials warm lively atmosphere ,RESTAURANT#GENERAL,specials,positive
143,well prepared basic french bistro fare good specials warm lively ,RESTAURANT#GENERAL,specials,positive
143,leon east village gem casual hip well prepared basic french ,RESTAURANT#GENERAL,hip,positive
143,basic french bistro fare good specials warm lively atmosphere ,RESTAURANT#GENERAL,specials,positive
144,leon east village gem casual hip well prepared ,AMBIENCE#GENERAL,hip,positive
144,fare good specials warm lively atmosphere ,AMBIENCE#GENERAL,specials,positive
144,prepared basic french bistro fare good specials warm lively atmosphere ,AMBIENCE#GENERAL,specials,positive
144,well prepared basic french bistro fare good specials warm lively ,AMBIENCE#GENERAL,specials,positive
144,leon east village gem casual hip well prepared basic french ,AMBIENCE#GENERAL,hip,positive
144,basic french bistro fare good specials warm lively atmosphere ,AMBIENCE#GENERAL,specials,positive
145,leon east village gem casual hip well prepared ,FOOD#QUALITY,hip,positive
145,fare good specials warm lively atmosphere ,FOOD#QUALITY,specials,positive
145,prepared basic french bistro fare good specials warm lively atmosphere ,FOOD#QUALITY,specials,positive
145,well prepared basic french bistro fare good specials warm lively ,FOOD#QUALITY,specials,positive
145,leon east village gem casual hip well prepared basic french ,FOOD#QUALITY,hip,positive
145,basic french bistro fare good specials warm lively atmosphere ,FOOD#QUALITY,specials,positive
148,wife always enjoy young always ,SERVICE#GENERAL,enjoy,positive
148,always well trained nevertheless friendly staff story ,SERVICE#GENERAL,friend,positive
148,well trained nevertheless friendly staff story ,SERVICE#GENERAL,friend,positive
148,wife always enjoy young always well trained ,SERVICE#GENERAL,enjoy,positive
149,decent wine reasonable prices ,DRINKS#QUALITY,wine,neutral
150,decent wine reasonable prices ,DRINKS#PRICES,wine,positive
151,dozens times never failed enjoy experience ,RESTAURANT#GENERAL,experience,positive
152,teenage kids love ,RESTAURANT#GENERAL,kids,positive
153,everytime decide try another place ues get angry zucchero ,RESTAURANT#GENERAL,time,positive
153,everytime decide try another place ues get angry zucchero pomodori ,RESTAURANT#GENERAL,time,positive
153,everytime decide try another place ues get ,RESTAURANT#GENERAL,time,positive
154,far favorite place neighborhood ,RESTAURANT#GENERAL,neighborhood,positive
155,great food delicious comes large portions ,SERVICE#GENERAL,eat,positive
155,service excellent decor great food delicious comes ,SERVICE#GENERAL,eat,positive
155,service excellent decor great food ,SERVICE#GENERAL,eat,positive
155,service excellent decor great food delicious comes large portions ,SERVICE#GENERAL,eat,positive
156,great food delicious comes large portions ,AMBIENCE#GENERAL,eat,positive
156,service excellent decor great food delicious comes ,AMBIENCE#GENERAL,eat,positive
156,service excellent decor great food ,AMBIENCE#GENERAL,eat,positive
156,service excellent decor great food delicious comes large portions ,AMBIENCE#GENERAL,eat,positive
157,great food delicious comes large portions ,FOOD#QUALITY,eat,positive
157,service excellent decor great food delicious comes ,FOOD#QUALITY,eat,positive
157,service excellent decor great food ,FOOD#QUALITY,eat,positive
157,service excellent decor great food delicious comes large portions ,FOOD#QUALITY,eat,positive
158,great food delicious comes large portions ,FOOD#STYLE_OPTIONS,eat,positive
158,service excellent decor great food delicious comes ,FOOD#STYLE_OPTIONS,eat,positive
158,service excellent decor great food ,FOOD#STYLE_OPTIONS,eat,positive
158,service excellent decor great food delicious comes large portions ,FOOD#STYLE_OPTIONS,eat,positive
160,place incredibly tiny ,AMBIENCE#GENERAL,ny,negative
161,refuse seat parties weekends ,SERVICE#GENERAL,ties,negative
162,hostess rude point offensive ,SERVICE#GENERAL,rude,negative
163,food bland oily ,FOOD#QUALITY,food,negative
164,understand hype ,RESTAURANT#GENERAL,hype,negative
165,place many times always great ,FOOD#QUALITY,man,positive
165,place many times always great food wine ,FOOD#QUALITY,man,positive
165,many times always great food wine service ,FOOD#QUALITY,man,positive
165,times always great food wine service ,FOOD#QUALITY,eat,positive
165,place many times always great food wine service ,FOOD#QUALITY,man,positive
166,place many times always great ,DRINKS#QUALITY,man,positive
166,place many times always great food wine ,DRINKS#QUALITY,man,positive
166,many times always great food wine service ,DRINKS#QUALITY,man,positive
166,times always great food wine service ,DRINKS#QUALITY,eat,positive
166,place many times always great food wine service ,DRINKS#QUALITY,man,positive
167,place many times always great ,SERVICE#GENERAL,man,positive
167,place many times always great food wine ,SERVICE#GENERAL,man,positive
167,many times always great food wine service ,SERVICE#GENERAL,man,positive
167,times always great food wine service ,SERVICE#GENERAL,eat,positive
167,place many times always great food wine service ,SERVICE#GENERAL,man,positive
168,trouble getting somehow managed short wait ,SERVICE#GENERAL,trouble,positive
168,worried would trouble getting somehow managed short ,SERVICE#GENERAL,trouble,positive
169,always great glass wine waited ,DRINKS#QUALITY,eat,positive
170,sat got great fast service ,SERVICE#GENERAL,eat,positive
171,people work always friendly forget ,SERVICE#GENERAL,work,positive
171,people work always friendly forget new ,SERVICE#GENERAL,work,positive
172,make sure try place often ,RESTAURANT#GENERAL,try,positive
173,fun restaurant ,RESTAURANT#GENERAL,fun,positive
174,pizza yummy like atmoshpere ,FOOD#QUALITY,pizza,positive
175,pizza yummy like atmoshpere ,AMBIENCE#GENERAL,pizza,positive
176,pizza way expensive ,FOOD#PRICES,pizza,negative
177,went lunch good expected reviews read ,FOOD#QUALITY,lunch,negative
178,sauce watery food much flavor ,FOOD#QUALITY,flavor,negative
181,place great ,RESTAURANT#GENERAL,eat,positive
182,huge group birthday well taken care ,SERVICE#GENERAL,day,positive
183,waitress patient food phenomenal ,SERVICE#GENERAL,waitress,positive
184,waitress patient food phenomenal ,FOOD#QUALITY,waitress,positive
185,service prompt friendly great ,SERVICE#GENERAL,prompt,positive
186,slightly pricey side worth ,RESTAURANT#PRICES,side,negative
187,slightly pricey side worth ,RESTAURANT#GENERAL,side,positive
188,great pizza fantastic service ,FOOD#QUALITY,pizza,positive
189,great pizza fantastic service ,SERVICE#GENERAL,pizza,positive
